variant,year,K,n_draws,tau_absolute_min,tau_absolute_max,metric,mean,sd,p05,p50,p95
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,enp_sincere,7.451975507170004,0.19533233465040858,7.125706512815643,7.46318866782722,7.74678148453357
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,mae,0.06636334237622654,0.006509832507502417,0.05641041520325464,0.0663820358304959,0.07583755734470861
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,rmse,0.08595324924740824,0.008588118868311859,0.07086126406107524,0.0873304511123536,0.09863812850313095
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,switching_rate,0.15925,0.1388329331726926,0.0,0.14675,0.34907499999999997
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,top2_acc,0.0,0.0,0.0,0.0,0.0
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,top3_acc,0.0,0.0,0.0,0.0,0.0
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,top4_acc,0.0,0.0,0.0,0.0,0.0
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,trigger_rate,0.499425,0.2125663458520395,0.154975,0.5674999999999999,0.795525
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_magnitude,0.090625,0.030916013225145537,0.053924999999999994,0.08725,0.16822499999999999
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_ratio,0.8543496517139841,0.04725456597609207,0.7737889294493069,0.8610691507217187,0.934072336411029
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,conditional_switching_rate,0.289034725687501,0.21717245526335355,0.0,0.2321226602947033,0.7650190436971531
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,delta_cenp,0.030216963082286993,0.07644460670616257,-0.07615388781057197,0.0,0.16689110533308937
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,delta_enp,-0.3323865939051569,0.8408906737677881,-1.8358021586639837,0.0,0.837692765916291
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,enp_final,6.9654101908984725,0.881325043642277,5.545469698279535,6.810290646664759,8.229289579256264
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,enp_sincere,7.29779678480363,0.878821153917154,5.810562120150176,7.807994811431079,8.147136620719301
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,mae,0.09206108855104354,0.009185190921450995,0.07550003917450157,0.0938199973327999,0.10611860205374408
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,rmse,0.1161355081589458,0.008843999134375514,0.10121185328713876,0.11649617814944294,0.1301757662657734
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,switching_rate,0.14582499999999998,0.09605720557263908,0.0,0.139,0.30879999999999996
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,top2_acc,0.0,0.0,0.0,0.0,0.0
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,top3_acc,0.0,0.0,0.0,0.0,0.0
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,top4_acc,0.0,0.0,0.0,0.0,0.0
perturbed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,trigger_rate,0.536035,0.1732596034185917,0.32635000000000003,0.412,0.85405
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_magnitude,0.11602499999999999,0.02572439150265402,0.07225000000000001,0.11900000000000001,0.1451
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_ratio,0.9221119853262951,0.02462445547769371,0.885559787679929,0.9278798826937198,0.9437274534344401
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,conditional_switching_rate,0.3062601471633619,0.2486483971198098,0.0,0.38194077227743656,0.7794058464583804
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,delta_cenp,-0.02263508345584907,0.041997770005877365,-0.1038480116785186,-0.013695112435197276,0.0
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,delta_enp,0.3168911683818871,0.587968780082283,0.0,0.1917315740927621,1.4538721634992606
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,enp_final,7.818178302148617,0.6026080395387023,7.319037938529253,7.71485887881032,8.947816550892949
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,enp_sincere,7.501287133766729,0.15382316202461535,7.253749928777307,7.492544922959356,7.7849985863130975
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,mae,0.06671414197470212,0.0048301663744788744,0.05859463418987443,0.06621644065166918,0.07360017914167949
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,rmse,0.08353655883647317,0.006816295837338658,0.07218507339797875,0.08292500221525251,0.09273788714271122
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,switching_rate,0.16180999999999998,0.1277244663051261,0.0,0.2205,0.3168749999999999
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,top2_acc,0.0,0.0,0.0,0.0,0.0
