specification,year,K,n_draws,tau_absolute_min,tau_absolute_max,metric,mean,sd,p05,p50,p95
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,cliff_ratio,0.8848477428337829,0.06173036220548872,0.7775201116895747,0.8881817564066627,0.957310296954127
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,conditional_switching_rate,0.4544042213010174,0.2516132888103349,0.10050552849500152,0.46955172674755935,0.796414199960129
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,delta_cenp,0.028753929366980308,0.039419886968676564,-0.01893679724131986,0.0168903510195694,0.09543457142896429
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,delta_enp,-0.3162932230367834,0.4336187566554422,-1.049780285718607,-0.18579386121526342,0.2083047696545189
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,enp_final,5.987609178457783,0.8307193151514032,4.708598560839081,5.866238098548602,7.400954871890713
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,enp_sincere,6.303902401494566,0.9298265386817849,5.0314875825074195,5.979597230164563,7.698472450746558
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,mae,0.07089049993332001,0.013893977171331224,0.049317417650196704,0.07068500366740015,0.09702802227112091
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,rmse,0.09446074285887882,0.015162433436854297,0.07006549823785013,0.09494818948761542,0.12037195155245874
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,switching_rate,0.20288812499999997,0.07443650423641647,0.07945,0.209,0.309525
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,top2_acc,0.0,0.0,0.0,0.0,0.0
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,top3_acc,0.0,0.0,0.0,0.0,0.0
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,top4_acc,0.0,0.0,0.0,0.0,0.0
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,trigger_rate,0.532899375,0.17046207594734883,0.3517,0.4145,0.86
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,cliff_magnitude,0.08852125000000001,0.029468458323815963,0.043474999999999986,0.08800000000000002,0.13604999999999998
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,cliff_ratio,0.869430219725685,0.04317273220822604,0.7872093239572868,0.8787832062171225,0.9315270830130594
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,conditional_switching_rate,0.22277206513899844,0.1037267011365507,0.07235536275507946,0.20067412634546328,0.38190277878176954
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,delta_cenp,0.06589706285087144,0.04987302998572566,0.005812365808488354,0.05118183673286389,0.1493903783730107
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,delta_enp,-0.9225588799122,0.6982224198001592,-2.091465297222149,-0.7165457142600951,-0.08137312131883717
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,enp_final,7.214320317708711,0.6546469364646217,5.815821734976412,7.270784415400177,8.145997472002936
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,enp_sincere,8.13687919762091,0.8155553426154116,6.817277772022608,8.047285933091356,9.50718336329284
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,mae,0.039156523063049,0.011302365066922457,0.021742931522626685,0.04072457726624544,0.05558278587231719
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,rmse,0.06009733573628658,0.016470091898062037,0.031268889129745264,0.06414862759397542,0.0862353514337487
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,switching_rate,0.11293437499999999,0.06148125984802199,0.014,0.1145,0.19902499999999998
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,top2_acc,0.0,0.0,0.0,0.0,0.0
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,top3_acc,0.03375,0.18069795845619782,0.0,0.0,0.0
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,top4_acc,0.0075,0.08633114347045419,0.0,0.0,0.0
prob_signal_mu0,2002,15,800,0.06667301122849636,0.3998966094395583,trigger_rate,0.49219625,0.18472152937653616,0.153475,0.57125,0.6880749999999999
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,cliff_magnitude,0.127261875,0.05720645686780983,0.05750000000000001,0.139,0.2095
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,cliff_ratio,0.8654222041235364,0.054391773722971166,0.772801234501883,0.8731826063758836,0.9373662122577738
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,conditional_switching_rate,0.3336647221044178,0.16931001152955927,0.09017105446533451,0.4367388257511289,0.5318825110689437
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,delta_cenp,0.09080265378332841,0.025228980986199592,0.050401401243626034,0.0883011153745587,0.1309380436977161
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,delta_enp,-0.9988291916166127,0.27751879084819553,-1.4403184806748768,-0.9713122691201455,-0.5544154136798862
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,enp_final,5.29552047014671,1.091565142023726,3.9572486564003055,4.854902887127764,6.999271046384014
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,enp_sincere,6.294349661763323,0.9354676274051826,5.035807839887822,5.918849660612045,7.701964849372562
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,mae,0.05730895672884578,0.0197435905237994,0.03610884676935387,0.046229737614189505,0.09703635560445424
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,rmse,0.07958585124542275,0.022087773056409403,0.054956803323918293,0.06764724534210176,0.11942495559780973
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,switching_rate,0.15008749999999998,0.04676715650335459,0.072,0.162,0.2065
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,top2_acc,0.0,0.0,0.0,0.0,0.0
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,top3_acc,0.0075,0.08633114347045419,0.0,0.0,0.0
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,top4_acc,0.0,0.0,0.0,0.0,0.0
prob_signal_mu0,2022,12,800,0.08334126403562045,0.49987076179944784,trigger_rate,0.532899375,0.17046207594734883,0.3517,0.4145,0.86
