K,outcome,parameter,S1,S1_conf,ST,ST_conf,n_base,n_evaluations
9,cond_switching,theta,0.007991094336395988,0.03078646352414262,0.10017963726430089,0.03326041555278911,1024,10240
9,delta_cenp,alpha,-0.0004300296741395114,0.025653877273848723,0.25275571188838913,0.10281358250223804,1024,10240
9,delta_cenp,c,0.104243659559079,0.09045067497385918,0.37402565254282016,0.13185542810363263,1024,10240
9,delta_cenp,epsilon,0.007895917047270004,0.03157059147843999,0.22460851676057478,0.09648928239074248,1024,10240
9,delta_cenp,mu,0.35752001456851046,0.1261813121657166,0.7661037339191598,0.20822138266871912,1024,10240
9,delta_cenp,rho_pi,0.05838907438544233,0.0696218486334648,0.2512845560026836,0.11215186239992678,1024,10240
9,delta_cenp,rho_s,0.009377420121745373,0.03226079054780541,0.2310483113733749,0.10060079646330038,1024,10240
9,delta_cenp,tau_hat,0.06152072974202555,0.04600086994687727,0.4005336159540161,0.14951990684059657,1024,10240
9,delta_cenp,theta,0.037385474878323686,0.06574871439894446,0.22783358566419723,0.07198472043186882,1024,10240
9,enp_final,alpha,-0.004931308550860988,0.0066947092025162434,0.005728859297218291,0.0012729605133864276,1024,10240
9,enp_final,c,0.9054637455037295,0.06958371967207698,0.9382074799175626,0.06176415688539535,1024,10240
9,enp_final,epsilon,0.041174935550349845,0.02111191861357985,0.07352227973528946,0.008700252628241253,1024,10240
9,enp_final,mu,0.001171693151160733,0.00991575184692767,0.012026294676740325,0.00291703015720703,1024,10240
9,enp_final,rho_pi,-0.007534080156787241,0.006386540419245232,0.005394770553418423,0.0014795801220260126,1024,10240
9,enp_final,rho_s,-0.004919356568217699,0.006198598617802684,0.005145424182109887,0.00126957042017421,1024,10240
9,enp_final,tau_hat,0.0012415343160133332,0.007079156187661126,0.007326095518549293,0.0018852470525216646,1024,10240
9,enp_final,theta,-0.00044493250816741764,0.005603320243035657,0.00505605077307465,0.0011084044632152599,1024,10240
9,total_switching,alpha,0.015719894356664276,0.02443975223792123,0.08532794414833168,0.022192589246826114,1024,10240
9,total_switching,c,0.07322330532533967,0.04622723527551982,0.2200114045533329,0.0522507194665349,1024,10240
9,total_switching,epsilon,0.009537329996652829,0.028661877686903935,0.11662612384425224,0.03613082567931871,1024,10240
9,total_switching,mu,0.4738045073307283,0.0996009167564146,0.7069085306760563,0.12037625172901549,1024,10240
9,total_switching,rho_pi,0.04457394937162738,0.046339910838832606,0.1261900619817818,0.054735333733984655,1024,10240
9,total_switching,rho_s,0.017793818014897968,0.02266609954707845,0.0992656994472899,0.03238853883604742,1024,10240
9,total_switching,tau_hat,0.1523855420743734,0.04525408681833159,0.4061141976542906,0.08009949298441353,1024,10240
9,total_switching,theta,0.03944887401582486,0.05126921071350397,0.1201840438383209,0.031838136146883966,1024,10240
9,trigger_rate,alpha,-0.0060273121605716375,0.02161979329527999,0.05169244500725013,0.011499887392738826,1024,10240
9,trigger_rate,c,0.2506753239100696,0.045682537778525496,0.3706020569233629,0.04388833491923909,1024,10240
9,trigger_rate,epsilon,0.03935759250161228,0.02708346809799929,0.08966792894528902,0.011338619543920951,1024,10240
9,trigger_rate,mu,-0.015592184028118376,0.018553552494200234,0.05442183491184591,0.010418893707520473,1024,10240
9,trigger_rate,rho_pi,-0.0017274948621944465,0.018328987744117613,0.05544164247719552,0.012583431400253866,1024,10240
9,trigger_rate,rho_s,-0.013171213376102693,0.01859439839437507,0.05119174937858753,0.00960004296214442,1024,10240
9,trigger_rate,tau_hat,0.5853322255249717,0.06395965518172034,0.6816650808827298,0.06389373101958332,1024,10240
9,trigger_rate,theta,-0.00316710914839585,0.018217200358771724,0.045767872548783436,0.0072244356233660215,1024,10240
